education,income,recency,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,num_deals_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,accepted_cmp3,accepted_cmp4,accepted_cmp5,accepted_cmp1,accepted_cmp2,response,age,total_days_active,total_mnt_spent,total_cmp_accepted,have_kids_or_teen,total_days_active_bins,total_mnt_spent_bins,marital_status_Married,marital_status_Used_to_marry
2,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,52,2370,55,0,1,2,1,1.0,0.0
2,43041.14271827941,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,69,2144,124,0,1,0,3,0.0,0.0
5,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,66,2620,1319,0,1,3,8,1.0,0.0
2,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,63,2080,507,0,1,0,5,0.0,1.0
4,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,56,2746,1693,0,0,3,9,1.0,0.0
2,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,43,2550,72,0,1,3,2,0.0,0.0
2,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,1,43,2029,1617,2,0,0,9,0.0,1.0
2,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,42,2386,606,0,1,2,5,1.0,0.0
4,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,1,65,2593,1957,1,0,3,9,1.0,0.0
2,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1,54,2484,1093,0,0,2,7,0.0,1.0
2,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,32,2092,29,0,1,0,0,0.0,0.0
2,26852.415899505937,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,38,2381,46,0,1,2,1,0.0,0.0
5,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,52,2116,518,0,1,0,5,1.0,0.0
4,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1,38,2409,1438,2,0,2,8,0.0,0.0
2,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,45,2703,612,0,1,3,5,1.0,0.0
2,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,68,2531,884,0,1,2,6,0.0,0.0
5,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,69,2436,606,0,1,2,5,0.0,1.0
2,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,72,2237,1076,0,0,1,7,1.0,0.0
2,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,1,49,2390,34,0,1,2,0,1.0,0.0
2,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,53,2110,11,0,1,0,0,1.0,0.0
3,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,1,41,2144,1274,2,1,0,8,0.0,0.0
2,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,62,2332,653,0,1,1,6,1.0,0.0
2,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,50,2418,1562,0,1,2,9,1.0,0.0
4,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,66,2716,1253,0,0,3,8,1.0,0.0
3,31708.311123734595,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,47,2689,109,0,1,3,3,1.0,0.0
2,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,61,2501,863,0,1,2,6,1.0,0.0
5,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,45,2423,661,1,1,2,6,1.0,0.0
2,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,68,2063,65,0,0,0,2,1.0,0.0
2,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,43,2550,13,0,1,3,0,0.0,1.0
4,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,1,48,2698,1890,0,0,3,9,1.0,0.0
2,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,1,44,2646,2209,1,0,3,9,0.0,0.0
3,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0,44,2347,18,0,0,1,0,1.0,0.0
2,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,1,55,2595,692,1,0,3,6,1.0,0.0
2,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,35,2643,165,0,1,3,3,0.0,0.0
2,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,51,2427,16,0,1,2,0,1.0,0.0
3,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,47,2335,79,0,1,1,2,1.0,0.0
4,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,57,2419,318,0,0,2,4,1.0,0.0
2,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,33,2167,778,0,0,0,6,0.0,1.0
2,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,60,2288,56,0,1,1,2,1.0,0.0
4,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,50,2361,151,1,1,1,3,1.0,0.0
2,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,63,2090,372,2,1,0,4,0.0,0.0
2,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,47,2039,1366,1,0,0,8,1.0,0.0
2,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,53,2141,194,0,1,0,3,1.0,0.0
5,45713.03759937963,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,63,2644,603,0,1,3,5,1.0,0.0
2,32993.53436709355,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,63,2049,18,0,1,0,0,0.0,0.0
4,74319.4770798153,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,47,2192,985,0,0,1,7,1.0,0.0
4,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,48,2090,32,0,1,0,0,0.0,0.0
5,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,50,2013,43,0,1,0,1,1.0,0.0
2,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,37,2069,45,0,1,0,1,1.0,0.0
2,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,60,2573,606,1,1,3,5,0.0,1.0
2,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,48,2468,63,0,1,2,2,0.0,1.0
3,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,69,2227,978,1,0,1,7,1.0,0.0
5,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,37,2403,410,0,0,2,5,1.0,0.0
3,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,60,2402,72,0,1,2,2,0.0,0.0
5,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,61,2109,55,0,1,0,1,0.0,0.0
2,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,41,2437,1169,0,1,2,7,1.0,0.0
5,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,75,2401,1120,0,0,2,7,1.0,0.0
2,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,1,61,2078,1097,0,0,0,7,1.0,0.0
1,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,41,2168,29,0,1,0,0,1.0,0.0
2,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,56,2324,187,0,1,1,3,1.0,0.0
2,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,51,2517,910,0,1,2,6,1.0,0.0
2,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,42,2601,145,0,1,3,3,0.0,0.0
4,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,60,2612,850,0,0,3,6,1.0,0.0
2,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,41,2254,969,0,1,1,7,1.0,0.0
5,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,1,29,2617,1820,1,0,3,9,0.0,0.0
4,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,57,2038,608,1,1,0,5,1.0,0.0
2,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,1,29,2509,730,2,0,2,6,0.0,0.0
5,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,40,2606,551,0,1,3,5,1.0,0.0
2,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,58,2326,114,0,1,1,3,0.0,0.0
2,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,50,2192,1724,2,0,1,9,1.0,0.0
3,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,42,2482,577,0,1,2,5,1.0,0.0
3,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,53,2329,81,0,1,1,2,1.0,0.0
2,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,51,2251,33,0,1,1,0,1.0,0.0
4,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,67,2370,660,0,1,2,6,1.0,0.0
4,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,1,53,2173,80,0,1,0,2,0.0,0.0
4,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,35,2296,30,0,1,1,0,1.0,0.0
2,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,44,2411,43,0,1,2,1,0.0,1.0
2,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,1,37,2466,1135,3,0,2,7,0.0,0.0
3,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,55,2470,559,0,0,2,5,1.0,0.0
2,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,1,36,2458,1923,0,0,2,9,0.0,0.0
4,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,67,2031,90,0,1,0,2,1.0,0.0
5,56918.61555621945,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,59,2391,404,0,1,2,5,1.0,0.0
5,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,64,2039,661,0,1,0,6,1.0,0.0
2,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,68,2323,463,0,1,1,5,1.0,0.0
4,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,62,2495,632,0,1,2,5,0.0,0.0
2,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,51,2190,725,0,0,0,6,1.0,0.0
2,67245.42839454627,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,57,2287,725,0,1,1,6,1.0,0.0
5,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,56,2329,279,0,1,1,4,1.0,0.0
5,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,53,2509,1482,1,0,2,8,1.0,0.0
1,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,44,2720,29,0,1,3,0,0.0,1.0
5,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,61,2357,106,0,1,1,3,1.0,0.0
5,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,1,47,2065,49,1,1,0,1,0.0,0.0
5,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,55,2323,38,0,1,1,1,0.0,1.0
4,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,28,2633,2077,0,0,3,9,0.0,0.0
4,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,44,2284,1053,0,1,1,7,1.0,0.0
2,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,58,2424,1385,0,0,2,8,1.0,0.0
5,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,46,2319,871,0,1,1,6,0.0,0.0
2,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,32,2515,312,0,1,2,4,1.0,0.0
2,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,44,2644,877,0,1,3,6,1.0,0.0
2,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,1,45,2623,68,0,1,3,2,1.0,0.0
2,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,0,39,2317,22,0,1,1,0,1.0,0.0
3,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,47,2643,211,0,1,3,4,1.0,0.0
4,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,54,2004,127,0,0,0,3,1.0,0.0
4,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,67,2068,459,0,1,0,5,1.0,0.0
2,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,51,2079,460,1,1,0,5,1.0,0.0
3,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,48,2595,429,0,1,3,5,1.0,0.0
2,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,32,2097,89,0,1,0,2,0.0,0.0
5,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,68,2632,1021,0,1,3,7,1.0,0.0
2,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,1,71,2546,1381,2,0,3,8,1.0,0.0
2,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,62,2413,306,0,1,2,4,0.0,0.0
2,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,42,2302,18,0,1,1,0,0.0,0.0
2,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,43,2313,162,0,1,1,3,1.0,0.0
2,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,65,2310,1231,0,0,1,8,0.0,0.0
4,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,62,2424,13,0,1,2,0,0.0,0.0
5,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,75,2642,1706,0,0,3,9,1.0,0.0
2,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,36,2145,121,0,1,0,3,1.0,0.0
5,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,45,2476,1293,0,0,2,8,0.0,1.0
5,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,47,2083,1608,0,1,0,9,1.0,0.0
2,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,54,2206,88,0,1,1,2,1.0,0.0
2,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,67,2257,421,1,0,1,5,0.0,1.0
2,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,61,2303,259,1,0,1,4,0.0,1.0
2,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,32,2254,1117,0,0,1,7,0.0,0.0
2,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,63,2101,89,0,1,0,2,1.0,0.0
2,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,55,2072,36,0,1,0,1,1.0,0.0
2,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,38,2334,57,0,1,1,2,1.0,0.0
2,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,50,2126,148,0,1,0,3,1.0,0.0
5,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,61,2194,93,0,1,1,3,1.0,0.0
2,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,53,2070,119,1,1,0,3,0.0,0.0
5,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,45,2660,1835,0,1,3,9,1.0,0.0
5,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,1,72,2542,1318,2,0,3,8,1.0,0.0
5,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,50,2008,45,0,1,0,1,1.0,0.0
2,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,61,1970,10,0,1,0,0,1.0,0.0
3,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,69,2227,978,1,0,1,7,1.0,0.0
5,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,44,2029,191,0,1,0,3,1.0,0.0
3,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,32,2034,57,0,1,0,2,1.0,0.0
4,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,74,2314,1033,0,0,1,7,1.0,0.0
4,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,36,2203,66,0,1,1,2,1.0,0.0
1,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,59,1995,43,0,0,0,1,1.0,0.0
2,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,37,2587,50,0,1,3,1,1.0,0.0
5,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,50,2111,39,0,1,0,1,0.0,0.0
2,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,54,2358,608,0,1,1,5,1.0,0.0
2,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,44,2514,1581,0,0,2,9,1.0,0.0
5,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,56,2539,68,0,1,2,2,1.0,0.0
1,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,42,2667,80,1,1,3,2,1.0,0.0
5,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,31,2371,1282,0,0,2,8,1.0,0.0
3,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,0,120,2238,65,0,1,1,2,0.0,1.0
2,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,32,2363,91,0,1,1,2,1.0,0.0
2,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,47,2519,315,0,1,2,4,1.0,0.0
2,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,43,2219,31,0,1,1,0,1.0,0.0
4,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,40,2028,834,0,0,0,6,1.0,0.0
2,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,66,2262,1600,1,0,1,9,1.0,0.0
2,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,66,2569,1270,0,0,3,8,1.0,0.0
5,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,1,47,2070,263,1,1,0,4,0.0,0.0
2,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,68,2011,535,1,1,0,5,0.0,1.0
2,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,52,2203,1295,0,0,1,8,0.0,0.0
2,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,42,2256,1150,0,1,1,7,0.0,1.0
